id,stallId,name,price,description,image,popular
j1,1,Jumbo Vada Pav,25,Our signature oversized vada pav with special chutney,https://images.pexels.com/photos/15017417/pexels-photo-15017417.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
j2,1,VIP Vada Pav,40,Premium vada pav with cheese and special sauce,https://images.pexels.com/photos/15017417/pexels-photo-15017417.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,false
j3,1,Indi-Italia Vada Pav,40,Fusion vada pav with Italian herbs,https://images.pexels.com/photos/15017417/pexels-photo-15017417.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,false
j4,1,Jantar Mantar Vada Pav,40,Spicy Delhi-style vada pav,https://images.pexels.com/photos/15017417/pexels-photo-15017417.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,false
j5,1,Samosa Plate (2Pcs),30,Crispy samosas with mint chutney,https://images.pexels.com/photos/14883757/pexels-photo-14883757.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
j6,1,Samosa Pav,35,Crispy samosa in bun with chutneys,https://images.pexels.com/photos/14883757/pexels-photo-14883757.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
j7,1,Vadapav,30,Classic Mumbai style vada pav,https://images.pexels.com/photos/15017417/pexels-photo-15017417.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
m1,3,Burger Combo,120,Juicy burger with fries and drink,https://images.pexels.com/photos/1633578/pexels-photo-1633578.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
m2,3,Shake Combo,145,Thick shake with sandwich,https://images.pexels.com/photos/1099680/pexels-photo-1099680.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,false
m3,3,Garlic Bread Combo,200,Garlic bread with pasta,https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop,true
